#6p-	6s+	-3.319	0.002
6p-	6s+	-3.3214	0.002
7p-	6s+	0.106	0.007
8p-	6s+	0.115	0.005
#6p+	6s+	4.686	0.002
6p+	6s+	4.6886	0.002
7p+	6s+	0.028	0.009
8p+	6s+	-0.071	0.006
6p-	7s+	2.500	0.010
7p-	7s+	-7.027	0.006
8p-	7s+	-0.113	0.002
6p+	7s+	-3.894	0.013
7p+	7s+	9.797	0.008
8p+	7s+	0.466	0.003
6p-	8s+	0.711	0.003
7p-	8s+	4.958	0.006
8p-	8s+	-11.570	0.005
6p+	8s+	-1.035	0.004
7p+	8s+	-7.656	0.009
8p+	8s+	16.049	0.007
#6p-	5d-	3.038	0.009
6p-	5d-	3.036	0.009
7p-	5d-	0.266	0.005
8p-	5d-	0.126	0.003
#6p+	5d-	1.326	0.004
6p+	5d-	1.327	0.004
7p+	5d-	0.150	0.002
8p+	5d-	0.073	0.001
6p-	6d-	-4.898	0.008
7p-	6d-	8.670	0.012
8p-	6d-	0.118	0.001
6p+	6d-	-2.339	0.004
7p+	6d-	3.785	0.005
8p+	6d-	0.147	0.000
#6p+	5d+	4.093	0.013
6p+	5d+	4.087	0.013
7p+	5d+	0.440	0.005
8p+	5d+	0.215	0.004
6p+	6d+	-6.938	0.011
7p+	6d+	11.523	0.016
8p+	6d+	0.368	0.001
